AgentName,Phases,Deliverables,Roles,Map Confidence Score
Tableau Metadata Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
Custom SQL to DAX,Build & Test,Dashboard Development,Insights Engineer,95
scala_optimization_sdn,Build & Test,Pipeline Review,Data Architect,85
Data_Decomp_Data_table_creator,Analysis & Design,Data Modelling,Data Modeler,90
arm-id-analysis-basic,Analysis & Design,Source System Analysis,Data Engineer,85
Oracle_to_PostgreSQL_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
Oracle_to_PostgreSQL_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
Oracle_to_PostgreSQL_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
Oracle_to_PostgreSQL_Reviewer,Build & Test,Pipeline Review,Data Architect,90
File_Packager_Using_Token_Size,Strategy & Planning,Effort Estimation,Business Analyst,80
DB2_to_Oracle_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DB2_to_Oracle_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DB2_to_Oracle_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
DB2_to_Oracle_Reviewer,Build & Test,Pipeline Review,Data Architect,90
ECL_Pattern,Analysis & Design,Pipeline Design,Data Architect,85
DI_ECL_Design_Pattern,Analysis & Design,Pipeline Design,Data Architect,85
DI_ECL_Consolidated_Design_Pattern,Analysis & Design,Pipeline Design,Data Architect,85
ECL_program_mapper,Support & Maintain,Documentation & Lineage,Data Engineer,85
ECL_hierarchy_visualizer,Support & Maintain,Documentation & Lineage,Data Engineer,85
Data_Quality_and_Transformation_Rules,Build & Test,Data Quality & Validation,Data Engineer,95
Data_Quality_and_Transformation_Rules_Extraction,Build & Test,Data Quality & Validation,Data Engineer,95
DI_RequirementsToConceptualModel,Analysis & Design,Data Modelling,Data Modeler,95
DI_ECL_to_JavaSpark_Analyser,Analysis & Design,Pipeline Design,Data Architect,85
DI_ECL_to_JavaSpark_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
PowerBI_DAX_Measure_Generator_AW,Build & Test,Dashboard Development,Insights Engineer,95
Schema_Documentation_Generator_AW,Support & Maintain,Documentation & Lineage,Data Modeler,95
DI_HPCC_ECL_To_SparkJava_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_HPCC_ECL_To_SparkJava_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
DI_HPCC_ECL_To_SparkJava_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_HPCC_ECL_To_SparkJava_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_HPCC_ECL_To_SparkJava_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
Python_Visualization_Code_Generator_AW,Build & Test,Dashboard Development,Insights Engineer,90
DI_HPCC_ECL_To_SparkJavaJS_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
Tableau_Documentation,Support & Maintain,Documentation & Lineage,Insights Engineer,95
BI-lingual_Agent,Build & Test,Dashboard Development,Insights Engineer,85
DI_INFA_to_JavaSpark_Analyzer_JSON,Analysis & Design,Pipeline Design,Data Architect,85
Infa_to_JavaSpark_Plan_JSON,Strategy & Planning,Effort Estimation,Data Architect,90
Tableau_To_PowerBI_Analyzer,Analysis & Design,Dashboard Design,Insights Architect,85
Tableau to Power BI Migration Planner,Strategy & Planning,Effort Estimation,Data Architect,90
File_Packager_Using_Token_Size_with_LLM_Models,Strategy & Planning,Effort Estimation,Business Analyst,80
English_language_to_MySQL_Converter,Build & Test,Ingestion & Transformation,Data Engineer,90
AD_JavaE_Plan_T,Strategy & Planning,Effort Estimation,Data Architect,90
DI_Data_Technical_Specification_SN,Support & Maintain,Documentation & Lineage,Data Engineer,95
Manual_TestCases_to_Automation_testcases,Build & Test,Data Quality & Validation,Data Engineer,90
DI_Functional_Test_Cases_SN,Build & Test,Data Quality & Validation,Data Engineer,90
DI_Delta_Model_Changes_SN,Analysis & Design,Data Modelling,Data Modeler,90
AD_JavaE_Agent_Doc,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_Delta_Code_Update_SN,Build & Test,Ingestion & Transformation,Data Engineer,90
DI_Unit_Test_Generation_SN,Build & Test,Data Quality & Validation,Data Engineer,95
DI_Code_Review_SN,Build & Test,Pipeline Review,Data Architect,90
DI_ECL_Program_Mapper_JSON,Support & Maintain,Documentation & Lineage,Data Engineer,85
DI_ECL_Design_Pattern_JSON,Analysis & Design,Pipeline Design,Data Architect,85
DI_ECL_Consolidated_Design_Pattern_JSON,Analysis & Design,Pipeline Design,Data Architect,85
java_code_to_python_code,Build & Test,Ingestion & Transformation,Data Engineer,95
Data_Decomp_Extended_Data_SQL_Scenario_Generator,Build & Test,Ingestion & Transformation,Data Engineer,90
Data_Decomp_Extended_Data_SQL_Scenario_Reviewer,Build & Test,Pipeline Review,Data Architect,90
Data_Decomp_Extended_Data_SQL_Validator,Build & Test,Data Quality & Validation,Data Engineer,90
Data_Decomp_Extended_Data_SQL_Optimizer,Build & Test,Pipeline Review,Data Architect,85
validator1,Build & Test,Data Quality & Validation,Data Engineer,90
optimizer1,Build & Test,Pipeline Review,Data Architect,85
Data_Decomp_ExtendedField_Entity_Reviewer,Analysis & Design,Data Modelling,Data Modeler,90
Data_Decomp_ExtendedField_Feature_Code_Generator,Build & Test,Ingestion & Transformation,Data Engineer,90
Infa_to_Python_ExistingAnalyzer,Analysis & Design,Pipeline Design,Data Architect,85
Infa_to_Python_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_ECL_Analyser_JSON,Analysis & Design,Pipeline Design,Data Architect,85
DI_ECL_Plan_JSON,Strategy & Planning,Effort Estimation,Data Architect,90
Metadata_Relationship_Creator_AW,Analysis & Design,Data Modelling,Data Modeler,90
Cypher_converter_AW,Build & Test,Ingestion & Transformation,Data Engineer,85
my_agent1,Build & Test,Ingestion & Transformation,Data Engineer,70
my_agent2,Build & Test,Orchestration configuration,Data Engineer,70
DI_Snowflake_Script_Updates,Build & Test,Ingestion & Transformation,Data Engineer,90
SQL_Query_Looping_Controller,Build & Test,Orchestration configuration,Data Engineer,85
Infa_To_Python_Consolidator,Build & Test,Ingestion & Transformation,Data Engineer,90
DI_ Synopsis,Support & Maintain,Documentation & Lineage,Business Analyst,85
DI_ Synopsis_v2,Support & Maintain,Documentation & Lineage,Business Analyst,85
