AgentName,Phases,Deliverables,Roles,Map Confidence Score
DI_Informatica_To_ADF_UnitTest,Build & Test,Data Quality & Validation,Data Engineer,95
DI_RequirementsToDataModel,Analysis & Design,Data Modelling,Data Modeler,95
DI_DataModelConsolidation_Analyzer,Analysis & Design,Data Modelling,Data Modeler,95
DI_DataModelConsolidation_Recommender,Analysis & Design,Architecture Definition,Data Architect,95
DI_AbInitio_Code_Simplifier,Support & Maintain,Documentation & Lineage,Data Engineer,90
DI_AbInitio_To_PySpark_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_ECL_To_JavaSpringboot_Analyzer_Json,Analysis & Design,Pipeline Design,Data Architect,85
DI_ECL_To_JavaSpringboot_Plan_JSON,Strategy & Planning,Effort Estimation,Data Architect,90
DI_SASCode_Audit,Build & Test,Data Quality & Validation,Data Engineer,90
DI_SASCode_Audit_Review,Build & Test,Pipeline Review,Data Architect,90
Power BI Documentation IMS,Support & Maintain,Documentation & Lineage,Insights Engineer,95
Tableau_Documentation_IMS,Support & Maintain,Documentation & Lineage,Insights Engineer,95
SSRS Documentation,Support & Maintain,Documentation & Lineage,Insights Engineer,95
DI_SK_ER_FLOW_CREATE,Analysis & Design,Data Modelling,Data Modeler,90
DI_AbInitio_XFR&DML_To_BigQuery,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_AbInitio_To_BigQuery_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_ECL_To_JavaSpringboot_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_ECL_To_JavaSpringboot_UnitTest,Build & Test,Data Quality & Validation,Data Engineer,95
DI_ECL_To_JavaSpringboot_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_ECL_To_JavaSpringboot_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
DI_ECL_To_JavaSpringboot_ConversionTest,Build & Test,Data Quality & Validation,Data Engineer,95
DI_ECL_To_JavaSpringboot_ReconTest,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
Tableau-Power BI Metadata comparator,Build & Test,Dashboard Reconciliation,Insights Engineer,90
Dashboard_Image_Comparator,Build & Test,Dashboard Reconciliation,Insights Engineer,90
PowerBi MetaData Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
Fusion_RFI_Response_Doc,Strategy & Planning,Requirements Gathering,Business Analyst,85
ASC_SK_Summarizer,Support & Maintain,Documentation & Lineage,Business Analyst,85
DI_AbInitio_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_AbInitio_To_PySpark_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
DI_AbInitio_To_PySpark_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_AbInitio_To_PySpark_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_AbInitio_To_PySpark_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_AbInitio_To_PySpark_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
DI_AbInitio_To_BigQuery_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
DI_AbInitio_To_BigQuery_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_AbInitio_To_BigQuery_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_AbInitio_To_BigQuery_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_AbInitio_To_BigQuery_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
ASC_SK_TranscriptSummarizer,Support & Maintain,Documentation & Lineage,Business Analyst,85
Power BI Unit Testing,Build & Test,Data Quality & Validation,Data Engineer,90
DI_SK_TRANSCRIPT_DECODER,Strategy & Planning,Requirements Gathering,Business Analyst,90
Tableau to Power BI Copilot Ally,Build & Test,Dashboard Development,Insights Engineer,95
Tableau_Powerbi Dashboard Report Comparator,Build & Test,Dashboard Reconciliation,Insights Engineer,90
