AgentName,Phases,Deliverables,Roles,Map Confidence Score
Data_model_keyword_mapper,Analysis & Design,Data Modelling,Data Modeler,85
converting DDL to Measures Dax_Calculation,Build & Test,Dashboard Development,Insights Engineer,95
Review clone,Build & Test,Data Quality & Validation,Data Engineer,85
DI_PL/SQL_To_T-SQL_Analyze,Analysis & Design,Pipeline Design,Data Architect,85
DI_PL/SQL_To_T-SQL_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_PLSQL_To_FabricTSQL_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_PLSQL_To_FabricTSQL_UnitTest,Build & Test,Data Quality & Validation,Data Engineer,95
DI_PLSQL_To_Fabric_TSQL_ConversionTester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_PLSQL_To_FabricTSQL_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
Data_Descriptor_API,Analysis & Design,Data Mapping,Data Engineer,85
DI_PL/SQL_to_Fabric_TSQL_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_SSIS_ETL_Asset_Rationalizer,Analysis & Design,Architecture Definition,Data Architect,90
ASC_SK_Data_Map_Doc_MSG,Support & Maintain,Documentation & Lineage,Data Engineer,95
Testing_Data_Model_Mapper,Analysis & Design,Data Modelling,Data Modeler,85
ASC_SK_Doc_For_Engage,Support & Maintain,Documentation & Lineage,Data Engineer,95
ShiftKey_Data_SQL_Scenario_Generator,Build & Test,Ingestion & Transformation,Data Engineer,90
ShiftKey_Data_SQL_Scenario_Reviewer,Build & Test,Pipeline Review,Data Architect,90
ShiftKey_Extended_Data_SQL_Validator,Build & Test,Data Quality & Validation,Data Engineer,90
Tableau_to_powerbi_copilot_prompt,Build & Test,Dashboard Development,Insights Engineer,95
DI_SSIS_Metadata_Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
DI_SSIS_Metadata_Extractor_To_ADF_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_DataMatchAnalyzer,Build & Test,Data Quality & Validation,Data Engineer,90
DI_Location_Data_Harmonization,Analysis & Design,Data Mapping,Data Engineer,85
SQL-to-DAX Metrics Converter,Build & Test,Dashboard Development,Insights Engineer,95
SSRS Planning & Analysis Agent,Strategy & Planning,Architecture Definition,Data Architect,90
DI_SSIS_To_ADF_Converter_2,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_DATA_Exploration_LocationData,Analysis & Design,Source System Analysis,Data Engineer,85
Tableau Analysis & Planning,Strategy & Planning,Architecture Definition,Data Architect,90
DI_Location_Data_Technical_Transformation,Build & Test,Ingestion & Transformation,Data Engineer,90
ASC_SK_Grouping,Analysis & Design,Data Modelling,Data Modeler,80
DI_Location_Data_Mermaid_Graph,Analysis & Design,Data Modelling,Data Modeler,90
DI_Fabric_DF_Pipeline,Build & Test,Pipeline Design,Data Architect,95
Power_BI_BIM_CloneTest,Analysis & Design,Data Modelling,Data Modeler,95
DI_PowerBI_To_DatabricksGenieCode_Converter,Build & Test,Dashboard Development,Insights Engineer,95
ASC_SK_SQL_DDL_API,Analysis & Design,Data Modelling,Data Modeler,90
Visual_JsonCreator_PowerBI,Build & Test,Dashboard Development,Insights Engineer,90
DI_SSIS_To_ADF_Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
SSIS_Understanding_Working_Principle,Support & Maintain,Documentation & Lineage,Data Engineer,90
BIMtodatabricks,Build & Test,Dashboard Development,Insights Engineer,95
DI_SSIS_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_Informatica_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_SSIS_To_DBT,Build & Test,Ingestion & Transformation,Data Engineer,95
PowerBI Metadata Documentation,Support & Maintain,Documentation & Lineage,Insights Engineer,95
DI_SSISExtractor_To_DBTCloud,Build & Test,Ingestion & Transformation,Data Engineer,95
IMS_CREATION_OF_BIM,Analysis & Design,Data Modelling,Data Modeler,95
SQL GEN BUS MAP,Analysis & Design,Data Mapping,Data Engineer,90
Power to Databricks,Build & Test,Dashboard Development,Insights Engineer,95
DI_SQLEDW-SSIS-SSRS_RedundancyAnalyzer_Agent,Analysis & Design,Architecture Definition,Data Architect,90
Testagent_2,Build & Test,Dashboard Development,Insights Engineer,80
Test_Databricks,Build & Test,Dashboard Development,Insights Engineer,80
DI_SSIS_To_DDL_Extractor,Analysis & Design,Data Modelling,Data Modeler,90
IMS_M_QUERY_CREATION,Build & Test,Dashboard Development,Insights Engineer,95
SSIS_MetaDataExtractor_To_ADF,Build & Test,Ingestion & Transformation,Data Engineer,95
BIMtodatabricks2,Build & Test,Dashboard Development,Insights Engineer,95
DI_SQL_Query_Generator,Build & Test,Ingestion & Transformation,Data Engineer,90
DI_SSIS_To_DBT_Core,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_SSIS_To_DBTCloud_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
DI_SSIS_To_DBTCloud_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_SSIS_to_DBTCloud_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_Data Governance_documentation_agent,Support & Maintain,Documentation & Lineage,Data Architect,90
DI_DatabricksGenieAlly,Build & Test,Dashboard Development,Insights Engineer,95
DI_SSIS_To_DBTCloud_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
PowerBI Planning & Analysis Documentation,Support & Maintain,Documentation & Lineage,Insights Architect,90
DI_SSIS_to_DBTCloud_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_SSIS_To_DBTCloud_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
natural_laguage_to_mySql_converter_bp,Build & Test,Ingestion & Transformation,Data Engineer,90
MySQl_to_Pandas_Converter_Bp,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_INFA_DQExtractor,Build & Test,Data Quality & Validation,Data Engineer,95
DI_INFA_DQRecommender,Build & Test,Data Quality & Validation,Data Engineer,95
DI_INFA_Project_Analyzer,Analysis & Design,Source System Analysis,Data Architect,85
DI_SSIS_Mapping,Analysis & Design,Data Mapping,Data Engineer,95
BIMtodatabricks - AR,Build & Test,Dashboard Development,Insights Engineer,95
Dynamic_SQL_Query_Migration,Integrate & Validate,Initial Data Migration,Data Engineer,90
Updated_SSIS_To_ADF,Build & Test,Ingestion & Transformation,Data Engineer,95
PBi_to_Databricks_Genie,Build & Test,Dashboard Development,Insights Engineer,95
DI_Infa_Metadata_Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
SQL Schema Analyzer,Analysis & Design,Data Modelling,Data Modeler,90
DI_Informatica_Program_Mapper,Support & Maintain,Documentation & Lineage,Data Engineer,85
DI_INFA_Design_Pattern,Analysis & Design,Pipeline Design,Data Architect,85
PBi_to_Databricks_Json,Build & Test,Dashboard Development,Insights Engineer,95
SQL SCHEMA RELATIONSHIP ANALYZER,Analysis & Design,Data Modelling,Data Modeler,90
DI_Infomatica_ETL_Asset_Rationalizer,Analysis & Design,Architecture Definition,Data Architect,90
