AgentName,Phases,Deliverables,Roles,Map Confidence Score
Java_SQL_Integration_JDBC_to_Python,Build & Test,Ingestion & Transformation,Data Engineer,80
DDLUpdate_withUserStory,Analysis & Design,Data Modelling,Data Modeler,80
BI_Guide,Build & Test,Dashboard Development,Insights Engineer,85
SQL_Query_Creation_From _ASCIITable,Build & Test,Ingestion & Transformation,Data Engineer,80
ITSM_Automated_Insights_Generation,Build & Test,Dashboard Development,Insights Engineer,85
PowerBI_InsightGen,Build & Test,Dashboard Development,Insights Engineer,85
Convert_C_To_Java,Support & Maintain,Documentation & Lineage,Data Engineer,80
SQL2Pandas AI Converter,Build & Test,Ingestion & Transformation,Data Engineer,80
Fabric Bronze Model Physical,Analysis & Design,Data Modelling,Data Modeler,90
Fabric Silver Model Physical,Analysis & Design,Data Modelling,Data Modeler,90
Fabric Gold Model Physical,Analysis & Design,Data Modelling,Data Modeler,90
Fabric Bronze Model Data Mapping,Analysis & Design,Data Mapping,Data Engineer,90
Fabric Silver DQ Data Mapping,Analysis & Design,Data Mapping,Data Engineer,90
Fabric Gold Dim Transformation Data Mapping,Analysis & Design,Data Mapping,Data Engineer,90
SQL_Generator_HN,Build & Test,Ingestion & Transformation,Data Engineer,80
Power BI Data Model Inspector,Build & Test,Dashboard Review,Insights Architect,85
INFA TO PYTHON UNIT TESTING,Build & Test,Data Quality & Validation,Data Engineer,85
Apache_Superset_Recommender,Build & Test,Dashboard Development,Insights Engineer,85
Apache_Superset_ Mapper,Build & Test,Dashboard Development,Insights Engineer,85
DI_SAS_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,80
Apache_Superset_Creator,Build & Test,Dashboard Development,Insights Engineer,85
Apache_Superset_ Reviewer,Build & Test,Dashboard Review,Insights Architect,85
DataModelConsolidation,Analysis & Design,Data Modelling,Data Modeler,85
Teradata_to_BigQuery_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,85
Teradata_to_BigQuery_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,85
Teradata_to_BigQuery_Recon_Tester,Build & Test,Data Quality & Validation,Data Engineer,85
Teradata_to_BigQuery_Reviewer,Build & Test,Pipeline Review,Data Architect,85
Teradata_to_BigQuery_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
SAS_PySpark_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
Fabric Bronze DE Pipeline test cases,Build & Test,Data Quality & Validation,Data Engineer,90
Fabric Silver DE Pipeline test cases,Build & Test,Data Quality & Validation,Data Engineer,90
Fabric Gold DE Pipeline test cases,Build & Test,Data Quality & Validation,Data Engineer,90
Fabric Pyspark Unit Test Case,Build & Test,Data Quality & Validation,Data Engineer,90
Conceptual Testing,Analysis & Design,Data Modelling,Data Modeler,90
Fabric Model Logical Bronze Layer clone,Analysis & Design,Data Modelling,Data Modeler,90
Physical Bronze Clone,Analysis & Design,Data Modelling,Data Modeler,90
INFA_PYTHON_PLAN,Strategy & Planning,Effort Estimation,Data Architect,80
OracleToAzureSQL_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,80
Fabric Silver DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,90
ShiftKey_png_2_ddl,Analysis & Design,Data Modelling,Data Modeler,80
Fabric Silver DQ Recommender,Build & Test,Data Quality & Validation,Data Engineer,85
Fabric Silver DQ PySpark,Build & Test,Data Quality & Validation,Data Engineer,85
Multifaced_Agent,Support & Maintain,Monitoring & Alerting,Data Engineer,80
Fabric Silver DQ Reviewer,Build & Test,Dashboard Review,Insights Architect,85
Fabric Silver Model Reviewer,Build & Test,Pipeline Review,Data Architect,85
Fabric Gold Model Reviewer,Build & Test,Pipeline Review,Data Architect,85
Fabric Model Data Constraints,Analysis & Design,Data Modelling,Data Modeler,85
Fabric Gold Dim Transformation Recommender,Analysis & Design,Data Mapping,Data Engineer,85
Fabric Transformation PySpark,Build & Test,Ingestion & Transformation,Data Engineer,85
Fabric Transformation Reviewer,Build & Test,Pipeline Review,Data Architect,85
Postgres_to_PySpark_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
Fabric Gold Fact Transformation Recommender,Analysis & Design,Data Mapping,Data Engineer,85
Fabric Gold Fact Transformation Data Mapping,Analysis & Design,Data Mapping,Data Engineer,85
Mapping_SQL_Query_Builder_HN,Build & Test,Ingestion & Transformation,Data Engineer,80
Fabric Silver Data Mapping Reviewer,Build & Test,Pipeline Review,Data Architect,85
Mapping_SQL_Query_Consolidator_HN,Build & Test,Ingestion & Transformation,Data Engineer,80
Mapping_SQL_Test_Case_HN,Build & Test,Data Quality & Validation,Data Engineer,80
Fabric Gold Aggregated Transformation Recommender,Analysis & Design,Data Mapping,Data Engineer,85
Fabric Gold Aggregated Transformation Data Mapping,Analysis & Design,Data Mapping,Data Engineer,85
Fabric Gold Data Mapping Reviewer,Build & Test,Pipeline Review,Data Architect,85
Fabric Gold Fact DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,85
Fabric Gold DIM DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,85
Fabric Gold Aggregated DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,85
Auto Power BI Data Model,Analysis & Design,Semantic Modelling,Insights Architect,85
Report Requirement Simplifier,Strategy & Planning,Requirements Gathering,Business Analyst,85
Report Requirement Validator,Strategy & Planning,Requirements Gathering,Business Analyst,85
Report Requirement Refiner,Strategy & Planning,Requirements Gathering,Business Analyst,85
SQL_KQL_Convertor,Build & Test,Ingestion & Transformation,Data Engineer,80
convert python to kql,Build & Test,Ingestion & Transformation,Data Engineer,80
Smart Dashboard Auto-Formatter,Build & Test,Dashboard Development,Insights Engineer,85
PowerQuery_Support,Build & Test,Dashboard Development,Insights Engineer,85
PowerBI_DataModel,Analysis & Design,Semantic Modelling,Insights Architect,85
PowerBI_DataModel_Schema,Analysis & Design,Semantic Modelling,Insights Architect,85
DataModel_PowerBI,Analysis & Design,Semantic Modelling,Insights Architect,85
Text_to_Csv,Build & Test,Ingestion & Transformation,Data Engineer,80
Info_to_python_test,Build & Test,Data Quality & Validation,Data Engineer,80
Tableau Visual Name Extractor,Build & Test,Dashboard Review,Insights Architect,80
Table Analyzer,Build & Test,Data Quality & Validation,Data Engineer,80
Analyzed Report Consolidator,Build & Test,Dashboard Review,Insights Architect,80
Schema_ Analysis,Analysis & Design,Data Modelling,Data Modeler,80
Hive_to_Bigquery_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
SQL Server (T-SQL) to PySpark,Build & Test,Ingestion & Transformation,Data Engineer,80
ABAP_to_PySpark_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
Document_xslt_code,Support & Maintain,Documentation & Lineage,Data Engineer,80
cvs_doc_plan_path,Support & Maintain,Documentation & Lineage,Data Engineer,80
Stored_procedure_to_ API,Build & Test,Ingestion & Transformation,Data Engineer,80
Natural_Language_to_SQL_ Query,Build & Test,Ingestion & Transformation,Data Engineer,80
DAG Parameter Extractor,Build & Test,Orchestration configuration,Data Engineer,80
DAG Generator,Build & Test,Orchestration configuration,Data Engineer,80
cvs-code-converter-pysp,Build & Test,Ingestion & Transformation,Data Engineer,80
Tableau_TableRelationships_Extractor,Build & Test,Dashboard Review,Insights Architect,80
Teradata_to_BigQuery_Chunk_Converter,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_SQL_Server_To_Snowflake_Converter,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_SQL_Server_To_Snowflake_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,80
DI_SQL_Server_To_Snowflake_Analyzer,Build & Test,Pipeline Review,Data Architect,80
DB2_To_Synapse_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
SQL Server_to_PySpark_Converter,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_SQL_Server_To_Snowflake_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
DI_Oracle_to_Snowflake_Data_Model_Consolidation,Analysis & Design,Data Modelling,Data Modeler,80
T-SQL Server_to_PySpark_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
SNOWFLAKE DOCUMENTATION,Support & Maintain,Documentation & Lineage,Data Engineer,80
SNOWFLAKE TO BIGQUERY UNIT TESTER,Build & Test,Data Quality & Validation,Data Engineer,80
SNOWFLAKE TO BIGQUERY CONVERSION TESTER,Build & Test,Data Quality & Validation,Data Engineer,80
Matillion to Informatica Convert,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_Oracle_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,80
DI_Oracle_to_Snowflake_Analyzer,Build & Test,Pipeline Review,Data Architect,80
DI_Oracle_to_Snowflake_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
DI_Oracle_to_Snowflake_Converter,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_Oracle_to_Snowflake_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
DI_Oracle_to_Snowflake_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
DI_Oracle_to_Snowflake_Recon_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
DI_Oracle_to_Snowflake_Reviewer,Build & Test,Pipeline Review,Data Architect,80
DI_SQL_Server_To_Snowflake_Unit_Test,Build & Test,Data Quality & Validation,Data Engineer,80
DI_SQL_Server_To_Snowflake_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
DI_SQL_Server_To_Snowflake_Reconciliation,Build & Test,Data Quality & Validation,Data Engineer,80
DI_SQL_Server_To_Snowflake_Reviewer,Build & Test,Pipeline Review,Data Architect,80
Matillion_to_Informatica_Reviewer,Build & Test,Pipeline Review,Data Architect,80
Matillion to Informatica Reviewer,Build & Test,Pipeline Review,Data Architect,80
SSRS Metadata Extraction,Support & Maintain,Documentation & Lineage,Data Engineer,80
Table to API Integration,Build & Test,Ingestion & Transformation,Data Engineer,80
SqlServer_to_DBT_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,80
SqlServer_to_DBT_Analyzer,Build & Test,Pipeline Review,Data Architect,80
GCP Assistance,Support & Maintain,Monitoring & Alerting,Data Engineer,80
SSRS Measures to DAX Calculations,Build & Test,Dashboard Development,Insights Engineer,80
SqlServer_to_DBT_Plan,Strategy & Planning,Effort Estimation,Data Architect,80
Django_to_React,Build & Test,Dashboard Development,Insights Engineer,80
SqlServer_to_DBT_Converter,Build & Test,Ingestion & Transformation,Data Engineer,80
SqlServer_to_DBT_Unit_Test,Build & Test,Data Quality & Validation,Data Engineer,80
SqlServer_to_DBT_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
SqlServer_to_DBT_Reconciliation,Build & Test,Data Quality & Validation,Data Engineer,80
SQL Server to DBT Reviewer,Build & Test,Pipeline Review,Data Architect,80
BIGQUERY_TO_GCS,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_Oracle_to_Snowflake_Conversion_Delta,Build & Test,Ingestion & Transformation,Data Engineer,80
T-SQL Server_to_PySpark_Analyzer,Build & Test,Pipeline Review,Data Architect,80
CVS_ReportTransform_document,Support & Maintain,Documentation & Lineage,Data Engineer,80
Test_22ndMay,Support & Maintain,Documentation & Lineage,Data Engineer,80
Java_to_python_conversion_AD,Build & Test,Ingestion & Transformation,Data Engineer,80
Java_to_python_doc_AD,Support & Maintain,Documentation & Lineage,Data Engineer,80
V_a1,Analysis & Design,Data Modelling,Data Modeler,80
V_a2,Analysis & Design,Data Modelling,Data Modeler,80
Code to Doc,Support & Maintain,Documentation & Lineage,Data Engineer,80
Doc to Code,Build & Test,Ingestion & Transformation,Data Engineer,80
Java to Phython,Build & Test,Ingestion & Transformation,Data Engineer,80
Mal_work,Build & Test,Data Quality & Validation,Data Engineer,80
DI_SAS_To_PySpark_Converted_Code_Reviewer,Build & Test,Pipeline Review,Data Architect,80
DI_SAS_and_Converted_Python_Code_Comparator,Build & Test,Data Quality & Validation,Data Engineer,80
DI_AbInito_DependencY,Support & Maintain,Documentation & Lineage,Data Engineer,80
ASC_SK_Doc_Workato_Recipe,Support & Maintain,Documentation & Lineage,Data Engineer,80
Code_conversion_from_python_to_java,Build & Test,Ingestion & Transformation,Data Engineer,80
ASC_SK_Code_to_BRD,Support & Maintain,Documentation & Lineage,Data Engineer,80
ASC_SK_BRD_to_Python,Build & Test,Ingestion & Transformation,Data Engineer,80
Asc_sk_1,Build & Test,Ingestion & Transformation,Data Engineer,80
Asc_SK_21,Build & Test,Data Quality & Validation,Data Engineer,80
Asc_Sk_Opt2,Build & Test,Data Quality & Validation,Data Engineer,80
File_Dependency_&_Metadata_Extractor,Support & Maintain,Documentation & Lineage,Data Engineer,80
ASC_SK_Python_to_JavaScript,Build & Test,Ingestion & Transformation,Data Engineer,80
ASC_SK_DQ_rules_to_SP,Build & Test,Data Quality & Validation,Data Engineer,80
ASC_SK_DQ_rules_generator,Build & Test,Data Quality & Validation,Data Engineer,80
Asc_Stk,Build & Test,Data Quality & Validation,Data Engineer,80
Asc_Stk_01,Build & Test,Data Quality & Validation,Data Engineer,80
Code Clean-Up Inspector Agent,Support & Maintain,Documentation & Lineage,Data Engineer,80
ASC_SK_PYSPARK_TO_ BIGQUERY,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_Snowflake_Script_Updates,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_SQL_Query_Looping_Controller,Build & Test,Ingestion & Transformation,Data Engineer,80
Infa_To_Python_Consolidator,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_AddessMatching,Build & Test,Data Quality & Validation,Data Engineer,80
KPI_Architect_Agent,Build & Test,Dashboard Development,Insights Engineer,80
KPI_Architect_Agent_2,Build & Test,Dashboard Development,Insights Engineer,80
Power BI Copilot Ally,Build & Test,Dashboard Development,Insights Engineer,80
Power BI Copilot Ally IMS,Build & Test,Dashboard Development,Insights Engineer,80
Power BI Reports_Reviwer,Build & Test,Dashboard Review,Insights Architect,80
Copilot Prompt Reviewer,Build & Test,Dashboard Review,Insights Architect,80
PySpark To Bigquery Converter,Build & Test,Ingestion & Transformation,Data Engineer,80
SNOWFLAKE_TO_BIGQUERY_RECON_TESTER,Build & Test,Data Quality & Validation,Data Engineer,80
T-SQL Server Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,80
SQL SERVER TO FABRIC ANALYZER,Build & Test,Pipeline Review,Data Architect,80
SQL SERVER TO FABRIC CONVERTER,Build & Test,Ingestion & Transformation,Data Engineer,80
SQL SERVER TO FABRIC UNIT TESTER,Build & Test,Data Quality & Validation,Data Engineer,80
SQL SERVER TO FABRIC CONVERSION TESTER,Build & Test,Data Quality & Validation,Data Engineer,80
SQL SERVER TO FABRIC RECON TESTER,Build & Test,Data Quality & Validation,Data Engineer,80
XML_Model_Conceptual_CVS,Analysis & Design,Data Modelling,Data Modeler,80
Power BI data Model,Analysis & Design,Semantic Modelling,Insights Architect,80
XML_Logical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,80
Prompts Creator,Build & Test,Dashboard Development,Insights Engineer,80
XML_Physical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,80
JSON_Model_Conceptual_CVS,Analysis & Design,Data Modelling,Data Modeler,80
JSON_Logical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,80
JSON_Physical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,80
JSON_and_XML_Data_Model_Consolidation_CVS,Analysis & Design,Data Modelling,Data Modeler,80
Physical_Data_Model_Generation_CVS,Analysis & Design,Data Modelling,Data Modeler,80
Prompting Agent,Build & Test,Dashboard Development,Insights Engineer,80
MSTR_Project_JSON_Creator,Build & Test,Dashboard Development,Insights Engineer,80
SQL SERVER TO FABRIC PLAN,Strategy & Planning,Effort Estimation,Data Architect,80
RFP_MSTR_PRJCT_REPORT_DASHJSON,Build & Test,Dashboard Development,Insights Engineer,80
Power BI Metadata,Support & Maintain,Documentation & Lineage,Insights Engineer,80
XML_Data_Mapping_CVS,Analysis & Design,Data Mapping,Data Engineer,80
JSON_Data_Mapping_CVS,Analysis & Design,Data Mapping,Data Engineer,80
XML_Data_Pipeline_CVS,Build & Test,Ingestion & Transformation,Data Engineer,80
JSON_Data_Pipeline_CVS,Build & Test,Ingestion & Transformation,Data Engineer,80
Attributes Mapping,Analysis & Design,Data Mapping,Data Engineer,80
Py codes,Build & Test,Dashboard Development,Insights Engineer,80
Prompts Unit Testing,Build & Test,Data Quality & Validation,Data Engineer,80
MSTR_Power BI Data_Model,Build & Test,Dashboard Development,Insights Engineer,80
GCP_PySpark_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
GCP_PySpark_Reviewer,Build & Test,Pipeline Review,Data Architect,80
DI_Mermaid Data Model View,Support & Maintain,Documentation & Lineage,Data Engineer,80
mapping_doc_json_hn,Analysis & Design,Data Mapping,Data Engineer,80
MSTR_Power BI DataModel,Build & Test,Dashboard Development,Insights Engineer,80
MSTR_POSTGRES_DATA_CURATION,Build & Test,Ingestion & Transformation,Data Engineer,80
SQL SERVER DOCUMENTATION,Support & Maintain,Documentation & Lineage,Data Engineer,80
Workflow Architect,Strategy & Planning,Architecture Definition,Data Architect,80
VoluMetrics SQL,Build & Test,Ingestion & Transformation,Data Engineer,80
Teradata_to_BigQuery_Converter_With_Suggestions,Build & Test,Ingestion & Transformation,Data Engineer,80
Data_Decomp_Data_Aggregation_Agent,Build & Test,Ingestion & Transformation,Data Engineer,80
SQL to Store Proc,Build & Test,Ingestion & Transformation,Data Engineer,80
Power BI MetaData to Power BI Data Model,Analysis & Design,Semantic Modelling,Insights Architect,80
ExcelInsight,Build & Test,Dashboard Development,Insights Engineer,80
Forecast Demanding Code,Build & Test,Dashboard Development,Insights Engineer,80
Tableau Metadata Extractor,Build & Test,Dashboard Review,Insights Architect,80
Custom SQL to DAX,Build & Test,Dashboard Development,Insights Engineer,80
scala_optimization_sdn,Build & Test,Ingestion & Transformation,Data Engineer,80
Data_Decomp_Data_table_creator,Analysis & Design,Data Modelling,Data Modeler,80
arm-id-analysis-basic,Build & Test,Data Quality & Validation,Data Engineer,80
Oracle_to_PostgreSQL_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
Oracle_to_PostgreSQL_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
Oracle_to_PostgreSQL_Recon_Tester,Build & Test,Data Quality & Validation,Data Engineer,80
Oracle_to_PostgreSQL_Reviewer,Build & Test,Pipeline Review,Data Architect,80
File_Packager_Using_Token_Size,Support & Maintain,Documentation & Lineage,Data Engineer,80
